# Sesion:3 Fecha:2026-04-03 22:56:14 Shots:1 Duracion:16,62s
tSeg,ms,qw,qx,qy,qz,filteredElev,shot
3.5800,48236,0.196838,-0.147461,0.698547,-0.671997,81.9630,0
3.5900,48246,0.196228,-0.146606,0.698486,-0.672424,81.9395,0
3.6000,48256,0.195679,-0.145935,0.698669,-0.672546,81.8719,0
3.6100,48266,0.195129,-0.145386,0.699036,-0.672424,81.7253,0
3.6200,48276,0.194580,-0.145081,0.699585,-0.672058,81.5610,0
3.6300,48286,0.194153,-0.144897,0.700256,-0.671509,81.3973,0
3.6400,48296,0.193726,-0.144836,0.701050,-0.670837,81.2464,0
3.6500,48306,0.193359,-0.144958,0.701721,-0.670166,81.1073,0
3.6600,48316,0.192993,-0.145142,0.702393,-0.669556,80.9699,0
3.6700,48326,0.192017,-0.145813,0.703857,-0.668213,80.8240,0
