# Sesion:3 Fecha:2026-04-05 21:12:05 Shots:1 Duracion:11,71s
tSeg,ms,qw,qx,qy,qz,filteredElev,shot
2.5600,1235416,0.423706,-0.398865,-0.577393,0.572693,87.1391,0
2.5700,1235426,0.423767,-0.398804,-0.577209,0.572876,87.1483,0
2.5800,1235436,0.423828,-0.398865,-0.577148,0.572876,87.1392,0
2.5900,1235446,0.423889,-0.398926,-0.577148,0.572815,87.1193,0
2.6000,1235456,0.423950,-0.399048,-0.577148,0.572693,87.0909,0
2.6100,1235466,0.423950,-0.399170,-0.577148,0.572571,87.0651,0
2.6200,1235476,0.423950,-0.399353,-0.577148,0.572449,87.0436,0
2.6300,1235486,0.424011,-0.399414,-0.577148,0.572388,87.0261,0
2.6400,1235496,0.424011,-0.399536,-0.577087,0.572327,87.0172,0
2.6500,1235506,0.423950,-0.399536,-0.577087,0.572327,87.0200,0
2.6600,1235516,0.423950,-0.399597,-0.576965,0.572449,87.0310,0
2.6700,1235526,0.424072,-0.399414,-0.576721,0.572693,87.0395,0
2.6800,1235536,0.424133,-0.399353,-0.576599,0.572876,87.0476,0
2.6900,1235546,0.424194,-0.399231,-0.576538,0.572998,87.0541,0
2.7000,1235556,0.424194,-0.399170,-0.576416,0.573120,87.0573,0
2.7100,1235566,0.424194,-0.399231,-0.576355,0.573181,87.0521,0
2.7200,1235576,0.424133,-0.399292,-0.576294,0.573242,87.0346,0
2.7300,1235586,0.424011,-0.399353,-0.576294,0.573242,87.0132,0
2.7400,1235596,0.423950,-0.399414,-0.576233,0.573242,86.9977,0
2.7500,1235606,0.423950,-0.399414,-0.576233,0.573303,86.9924,0
2.7600,1235616,0.424011,-0.399353,-0.576172,0.573364,86.9975,0
2.7700,1235626,0.424133,-0.399292,-0.575989,0.573547,87.0136,0
2.7800,1235636,0.424255,-0.399170,-0.575806,0.573669,87.0349,0
2.7900,1235646,0.424377,-0.399170,-0.575623,0.573792,87.0491,0
2.8000,1235656,0.424500,-0.399231,-0.575500,0.573853,87.0453,0
2.8100,1235666,0.424500,-0.399353,-0.575378,0.573792,87.0304,0
2.8200,1235676,0.424500,-0.399475,-0.575317,0.573792,87.0109,0
2.8300,1235686,0.424500,-0.399597,-0.575256,0.573792,86.9947,0
2.8400,1235696,0.424438,-0.399597,-0.575195,0.573914,86.9888,0
2.8500,1235706,0.424500,-0.399536,-0.575073,0.574036,86.9861,0
2.8600,1235716,0.424500,-0.399475,-0.575012,0.574097,86.9811,0
2.8700,1235726,0.424438,-0.399353,-0.575012,0.574219,86.9728,0
2.8800,1235736,0.424316,-0.399292,-0.575073,0.574280,86.9602,0
2.8900,1235746,0.424194,-0.399231,-0.575073,0.574341,86.9523,0
2.9000,1235756,0.424133,-0.399170,-0.575073,0.574463,86.9484,0
2.9100,1235766,0.424133,-0.399231,-0.575012,0.574585,86.9512,0
2.9200,1235776,0.424194,-0.399170,-0.574890,0.574707,86.9599,0
2.9300,1235786,0.424316,-0.399170,-0.574707,0.574768,86.9639,0
2.9400,1235796,0.424438,-0.399170,-0.574585,0.574768,86.9570,0
2.9500,1235806,0.424744,-0.399353,-0.574341,0.574707,86.9452,0
2.9600,1235816,0.424927,-0.399475,-0.574280,0.574524,86.9322,0
2.9700,1235826,0.425110,-0.399536,-0.574158,0.574463,86.9239,0
2.9800,1235836,0.425293,-0.399475,-0.574097,0.574402,86.9185,0
2.9900,1235846,0.425476,-0.399475,-0.574036,0.574341,86.9140,0
3.0000,1235856,0.425598,-0.399475,-0.574097,0.574219,86.9045,0
3.0100,1235866,0.425659,-0.399414,-0.574097,0.574219,86.8913,0
3.0200,1235876,0.425598,-0.399414,-0.574219,0.574097,86.8692,0
